title,genre,runtime,votes,rating,revenue,director,actor,description
Hands of Stone,Action,111,8998,6.6,4.71,Jonathan Jakubowicz,Edgar Ramírez,The legendary Roberto Duran and his equally legendary trainer Ray Arcel change each other's lives.
El secreto de sus ojos,Drama,129,144524,8.2,20.17,Juan José Campanella,Ricardo Darín,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.
True Grit,Adventure,110,254904,7.6,171.03,Ethan Coen,Jeff Bridges,A tough U.S. Marshal helps a stubborn teenager track down her father's murderer.
We Are Your Friends,Drama,96,25903,6.2,3.59,Max Joseph,Zac Efron,Caught between a forbidden romance and the expectations of his friends aspiring DJ Cole Carter attempts to find the path in life that leads to fame and fortune.
A Million Ways to Die in the West,Comedy,116,144779,6.1,42.62,Seth MacFarlane,Seth MacFarlane,As a cowardly farmer begins to fall for the mysterious new woman in town he must put his new-found courage to the test when her husband a notorious gun-slinger announces his arrival.
Only for One Night,Thriller,86,313,4.6,0.50,Chris Stokes,Brian White,A married womans husband with a perfect life cheats with her sister with extreme consequences befalling them all.
Rules Don't Apply,Comedy,127,3731,5.7,3.65,Warren Beatty,Lily Collins,The unconventional love story of an aspiring actress her determined driver and their boss eccentric billionaire Howard Hughes.
Ouija: Origin of Evil,Horror,99,30035,6.1,34.90,Mike Flanagan,Elizabeth Reaser,In 1967 Los Angeles a widowed mother and her 2 daughters add a new stunt to bolster their seance scam business inviting an evil presence into their home.
Percy Jackson: Sea of Monsters,Adventure,106,91684,5.9,68.56,Thor Freudenthal,Logan Lerman,In order to restore their dying safe haven the son of Poseidon and his friends embark on a quest to the Sea of Monsters to find the mythical Golden Fleece while trying to stop an ancient evil from rising.
Fracture,Crime,113,148943,7.2,39.00,Gregory Hoblit,Anthony Hopkins,An attorney intent on climbing the career ladder toward success finds an unlikely opponent in a manipulative criminal he is trying to prosecute.
Oculus,Horror,104,92875,6.5,27.69,Mike Flanagan,Karen Gillan,A woman tries to exonerate her brother who was convicted of murder by proving that the crime was committed by a supernatural phenomenon.
In Bruges,Comedy,107,322536,7.9,7.76,Martin McDonagh,Colin Farrell,Guilt-stricken after a job gone wrong hitman Ray and his partner await orders from their ruthless boss in Bruges Belgium the last place in the world Ray wants to be.
This Means War,Action,103,154400,6.3,54.76,McG,Reese Witherspoon,Two top CIA operatives wage an epic battle against one another after they discover they are dating the same woman.
Lída Baarová,Biography,106,353,5.0,0.50,Filip Renc,Tatiana Pauhofová,A film about the black-and-white era actress Lída Baarová and her doomed love affair.
The Road,Adventure,111,187302,7.3,0.06,John Hillcoat,Viggo Mortensen,In a dangerous post-apocalyptic world an ailing father defends his son as they slowly travel to the sea.
Lavender,Drama,92,2083,5.2,0.50,Ed Gass-Donnelly,Abbie Cornish,After losing her memory a woman begins to see unexplained things after her psychiatrist suggests she visit her childhood home.
Deuces,Drama,87,256,6.6,0.50,Jamal Hill,Larenz Tate,An agent infiltrates a crime ring ran by a charismatic boss.
Conan the Barbarian,Action,113,84893,5.2,21.27,Marcus Nispel,Jason Momoa,A vengeful barbarian warrior sets off to get his revenge on the evil warlord who attacked his village and murdered his father when he was a boy.
The Fighter,Action,116,290056,7.8,93.57,David O. Russell,Mark Wahlberg,"A look at the early years of boxer Irish Micky Ward and his brother who helped train him before going pro in the mid 1980s."
August Rush,Drama,114,91229,7.5,31.66,Kirsten Sheridan,Freddie Highmore,A drama with fairy tale elements where an orphaned musical prodigy uses his gift as a clue to finding his birth parents.
Chef,Comedy,114,151970,7.3,31.24,Jon Favreau,Jon Favreau,A head chef quits his restaurant job and buys a food truck in an effort to reclaim his creative promise while piecing back together his estranged family.
Eye in the Sky,Drama,102,57826,7.3,18.70,Gavin Hood,Helen Mirren,Col. Katherine Powell a military officer in command of an operation to capture terrorists in Kenya sees her mission escalate when a girl enters the kill zone triggering an international dispute over the implications of modern warfare.
Eagle Eye,Action,118,156158,6.6,101.11,D.J. Caruso,Shia LaBeouf,Jerry and Rachel are two strangers thrown together by a mysterious phone call from a woman they have never met. Threatening their lives and family she pushes Jerry and Rachel into a series of increasingly dangerous situations using the technology of everyday life to track and control their every move.
The Purge,Horror,85,154588,5.7,64.42,James DeMonaco,Ethan Hawke,A wealthy family are held hostage for harboring the target of a murderous syndicate during the Purge a 12-hour period in which any and all crime is legal.
PK,Comedy,153,103279,8.2,10.57,Rajkumar Hirani,Aamir Khan,A stranger in the city asks questions no one has asked before. His childlike curiosity will take him on a journey of love laughter and letting go.
Ender's Game,Action,114,194236,6.7,61.66,Gavin Hood,Harrison Ford,Young Ender Wiggin is recruited by the International Military to lead the fight against the Formics a genocidal alien race which nearly annihilated the human race in a previous invasion.
Indiana Jones and the Kingdom of the Crystal Skull,Action,122,351361,6.2,317.01,Steven Spielberg,Harrison Ford,Famed archaeologist/adventurer Dr. Henry Indiana Jones is called back into action when he becomes entangled in a Soviet plot to uncover the secret behind mysterious artifacts known as the Crystal Skulls.
Paper Towns,Drama,109,72515,6.3,31.99,Jake Schreier,Nat Wolff,After an all night adventure Quentin's life-long crush Margo disappears leaving behind clues that Quentin and his friends follow on the journey of a lifetime.
High-Rise,Drama,119,25928,5.7,0.34,Ben Wheatley,Tom Hiddleston,Life for the residents of a tower block begins to run out of control.
Quantum of Solace,Action,106,347798,6.6,168.37,Marc Forster,Daniel Craig,James Bond descends into mystery as he tries to stop a mysterious organization from eliminating a country's most valuable resource. All the while he still tries to seek revenge over the death of his love.
The Assignment,Action,95,2043,4.5,0.50,Walter Hill,Sigourney Weaver,After waking up and discovering that he has undergone gender reassignment surgery an assassin seeks to find the doctor responsible.
How to Train Your Dragon,Animation,98,523893,8.1,217.39,Dean DeBlois,Jay Baruchel,A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself and learns there may be more to the creatures than he assumed.
Lady in the Water,Drama,110,82701,5.6,42.27,M. Night Shyamalan,Paul Giamatti,Apartment building superintendent Cleveland Heep rescues what he thinks is a young woman from the pool he maintains. When he discovers that she is actually a character from a bedtime story who is trying to make the journey back to her home he works with his tenants to protect his new friend from the creatures that are determined to keep her in our world.
The Fountain,Drama,96,199193,7.3,10.14,Darren Aronofsky,Hugh Jackman,As a modern-day scientist Tommy is struggling with mortality desperately searching for the medical breakthrough that will save the life of his cancer-stricken wife Izzi.
Cars 2,Animation,106,110490,6.2,191.45,John Lasseter,Owen Wilson,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.
31,Horror,102,10871,5.1,0.78,Rob Zombie,Malcolm McDowell,Five carnival workers are kidnapped and held hostage in an abandoned Hell-like compound where they are forced to participate in a violent game the goal of which is to survive twelve hours against a gang of sadistic clowns.
Final Girl,Action,90,9026,4.7,0.50,Tyler Shields,Abigail Breslin,A man teaches a young woman how to become a complete weapon. Later she is approached by a group of sadistic teens who kill blonde women for unknown reasons. The hunting season begins.
Chalk It Up,Comedy,90,499,4.8,0.50,Hisonni Johnson,Maddy Curley,When a super girly-girl is dumped by her boyfriend; she decides to do everything she can to get him back by building a college gymnastics team
The Man Who Knew Infinity,Biography,108,29912,7.2,3.86,Matt Brown,Dev Patel,The story of the life and academic career of the pioneer Indian mathematician Srinivasa Ramanujan and his friendship with his mentor Professor G.H. Hardy.
Unknown,Action,113,218679,6.9,61.09,Jaume Collet-Serra,Liam Neeson,A man awakens from a coma only to discover that someone has taken on his identity and that no one (not even his wife) believes him. With the help of a young woman he sets out to prove who he is.
Self/less,Action,117,67196,6.5,12.28,Tarsem Singh,Ryan Reynolds,A dying real estate mogul transfers his consciousness into a healthy young body but soon finds that neither the procedure nor the company that performed it are quite what they seem.
Mr. Brooks,Crime,120,128146,7.3,28.48,Bruce A. Evans,Kevin Costner,A psychological thriller about a man who is sometimes controlled by his murder-and-mayhem-loving alter ego.
Tramps,Comedy,82,1031,6.5,0.50,Adam Leon,Callum Turner,A young man and woman find love in an unlikely place while carrying out a shady deal.
Before We Go,Comedy,95,31370,6.9,0.04,Chris Evans,Chris Evans,Two strangers stuck in Manhattan for the night grow into each other's most trusted confidants when an evening of unexpected adventure forces them to confront their fears and take control of their lives.
Captain Phillips,Biography,134,346154,7.8,107.10,Paul Greengrass,Tom Hanks,The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama the first American cargo ship to be hijacked in two hundred years.
The Secret Scripture,Drama,108,378,6.8,0.50,Jim Sheridan,Rooney Mara,A woman keeps a diary of her extended stay at a mental hospital.
Max Steel,Action,92,11555,4.6,3.77,Stewart Hendler,Ben Winchell,The adventures of teenager Max McGrath and his alien companion Steel who must harness and combine their tremendous new powers to evolve into the turbo-charged superhero Max Steel.
Hotel Transylvania 2,Animation,89,69157,6.7,169.69,Genndy Tartakovsky,Adam Sandler,Dracula and his friends try to bring out the monster in his half human half vampire grandson in order to keep Mavis from leaving the hotel.
Hancock,Action,92,366138,6.4,227.95,Peter Berg,Will Smith,Hancock is a superhero whose ill considered behavior regularly causes damage in the millions. He changes when the person he saves helps him improve his public image.
Sisters,Comedy,118,50241,6.0,87.03,Jason Moore,Amy Poehler,Two sisters decide to throw one last house party before their parents sell their family home.
The Family,Comedy,111,92868,6.3,36.92,Luc Besson,Robert De Niro,The Manzoni family a notorious mafia clan is relocated to Normandy France under the witness protection program where fitting in soon becomes challenging as their old habits die hard.
Zack and Miri Make a Porno,Comedy,101,154936,6.6,31.45,Kevin Smith,Seth Rogen,Lifelong platonic friends Zack and Miri look to solve their respective cash-flow problems by making an adult film together. As the cameras roll however the duo begin to sense that they may have more feelings for each other than they previously thought.
Ma vie de Courgette,Animation,66,4370,7.8,0.29,Claude Barras,Gaspard Schlatter,After losing his mother a young boy is sent to a foster home with other orphans his age where he begins to learn the meaning of trust and true love.
Man on a Ledge,Action,102,129252,6.6,18.60,Asger Leth,Sam Worthington,As a police psychologist works to talk down an ex-con who is threatening to jump from a Manhattan hotel rooftop the biggest diamond heist ever committed is in motion.
No Strings Attached,Comedy,108,178243,6.2,70.63,Ivan Reitman,Natalie Portman,A guy and girl try to keep their relationship strictly physical but it's not long before they learn that they want something more.
Rescue Dawn,Adventure,120,87887,7.3,5.48,Werner Herzog,Christian Bale,A U.S. fighter pilot's epic struggle of survival after being shot down on a mission over Laos during the Vietnam War.
Despicable Me 2,Animation,98,304837,7.4,368.05,Pierre Coffin,Steve Carell,When Gru the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own He has to fight back with new gadgetry cars and more minion madness.
A Walk Among the Tombstones,Crime,114,93883,6.5,25.98,Scott Frank,Liam Neeson,Private investigator Matthew Scudder is hired by a drug kingpin to find out who kidnapped and murdered his wife.
The World's End,Action,109,199813,7.0,26.00,Edgar Wright,Simon Pegg,Five friends who reunite in an attempt to top their epic pub crawl from twenty years earlier unwittingly become humanity's only hope for survival.
Yoga Hosers,Comedy,88,7091,4.3,0.50,Kevin Smith,Lily-Rose Depp,Two teenage yoga enthusiasts team up with a legendary man-hunter to battle with an ancient evil presence that is threatening their major party plans.
Seven Psychopaths,Comedy,110,196652,7.2,14.99,Martin McDonagh,Colin Farrell,A struggling screenwriter inadvertently becomes entangled in the Los Angeles criminal underworld after his oddball friends kidnap a gangster's beloved Shih Tzu.
Beowulf,Animation,115,146566,6.2,82.16,Robert Zemeckis,Ray Winstone,The warrior Beowulf must fight and defeat the monster Grendel who is terrorizing Denmark and later Grendel's mother who begins killing out of revenge.
Jack Ryan: Shadow Recruit,Action,105,103681,6.2,50.55,Kenneth Branagh,Chris Pine,Jack Ryan as a young covert CIA analyst uncovers a Russian plot to crash the U.S. economy with a terrorist attack.
1408,Fantasy,104,221073,6.8,71.98,Mikael Håfström,John Cusack,A man who specializes in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in he confronts genuine terror.
The Gambler,Crime,111,52537,6.0,33.63,Rupert Wyatt,Mark Wahlberg,Lit professor and gambler Jim Bennett's debt causes him to borrow money from his mother and a loan shark. Further complicating his situation is his relationship with one of his students. Will Bennett risk his life for a second chance?
Prince of Persia: The Sands of Time,Action,116,233148,6.6,90.76,Mike Newell,Jake Gyllenhaal,A young fugitive prince and princess must stop a villain who unknowingly threatens to destroy the world with a special dagger that enables the magic sand inside to reverse time.
The Spectacular Now,Comedy,95,115751,7.1,6.85,James Ponsoldt,Miles Teller,A hard-partying high school senior's philosophy on life changes when he meets the not-so-typical nice girl.
A United Kingdom,Biography,111,4771,6.8,3.90,Amma Asante,David Oyelowo,The story of King Seretse Khama of Botswana and how his loving but controversial marriage to a British white woman Ruth Williams put his kingdom into political and diplomatic turmoil.
USS Indianapolis: Men of Courage,Action,128,4964,5.2,0.50,Mario Van Peebles,Nicolas Cage,During World War II an American navy ship is sunk by a Japanese submarine leaving 300 crewmen stranded in shark infested waters.
Turbo Kid,Action,93,19309,6.7,0.05,François Simard,Munro Chambers,In a post-apocalyptic wasteland in 1997 a comic book fan adopts the persona of his favourite hero to save his enthusiastic friend and fight a tyrannical overlord.
Mama,Horror,100,142560,6.2,71.59,Andrés Muschietti,Jessica Chastain,A young couple take in their two nieces only to suspect that a foreboding evil has latched itself to their family.
Orphan,Horror,123,153448,7.0,41.57,Jaume Collet-Serra,Vera Farmiga,A husband and wife who recently lost their baby adopt a nine year-old girl who is not nearly as innocent as she claims to be.
To Rome with Love,Comedy,112,72050,6.3,16.68,Woody Allen,Woody Allen,The lives of some visitors and residents of Rome and the romances adventures and predicaments they get into.
Fantastic Mr. Fox,Animation,87,149779,7.8,21.00,Wes Anderson,George Clooney,An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.
Inside Man,Crime,129,285441,7.6,88.50,Spike Lee,Denzel Washington,A police detective a bank robber and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation.
I.T.,Crime,95,8755,5.4,0.50,John Moore,Pierce Brosnan,A self-proclaimed millionaire has his life turned upside down after firing his I.T. consultant.
127 Hours,Adventure,94,294010,7.6,18.33,Danny Boyle,James Franco,An adventurous mountain climber becomes trapped under a boulder while canyoneering alone near Moab Utah and resorts to desperate measures in order to survive.
Annabelle,Horror,99,91106,5.4,84.26,John R. Leonetti,Ward Horton,A couple begins to experience terrifying supernatural occurrences involving a vintage doll shortly after their home is invaded by satanic cultists.
Wolves at the Door,Horror,73,564,4.6,0.50,John R. Leonetti,Katie Cassidy,Four friends gather at an elegant home during the Summer of Love 1969. Unbeknownst to them deadly visitors are waiting outside. What begins as a simple farewell party turns to a night of ... See full summary »
Suite Française,Drama,107,13711,6.9,0.50,Saul Dibb,Michelle Williams,During the early years of Nazi occupation of France in World War II romance blooms between Lucile Angellier (Michelle Williams) a French villager and Bruno von Falk (Matthias Schoenaerts) a German soldier.
The Imaginarium of Doctor Parnassus,Adventure,123,130153,6.8,7.69,Terry Gilliam,Christopher Plummer,A traveling theater company gives its audience much more than they were expecting.
G.I. Joe: The Rise of Cobra,Action,118,180105,5.8,150.17,Stephen Sommers,Dennis Quaid,An elite military unit comprised of special operatives known as G.I. Joe operating out of The Pit takes on an evil organization led by a notorious arms dealer.
Christine,Biography,119,5855,7.0,0.30,Antonio Campos,Rebecca Hall,The story of Christine Chubbuck a 1970s TV reporter struggling with depression and professional frustrations as she tries to advance her career.
Man Down,Drama,90,4779,5.8,0.50,Dito Montiel,Shia LaBeouf,In a post-apocalyptic America former U.S. Marine Gabriel Drummer searches desperately for the whereabouts of his son accompanied by his best friend and a survivor.
Crawlspace,Horror,88,1427,5.3,0.50,Phil Claydon,Michael Vartan,A thriller centered around a widower who moves into a seemingly perfect new home with his daughter and new wife.
Shut In,Drama,91,5715,4.6,6.88,Farren Blackburn,Naomi Watts,A heart-pounding thriller about a widowed child psychologist who lives in an isolated existence in rural New England. Caught in a deadly winter storm she must find a way to rescue a young boy before he disappears forever.
The Warriors Gate,Action,108,1391,5.3,0.50,Matthias Hoene,Mark Chao,A teenager is magically transported to China and learns to convert his video game skills into those of a Kung Fu warrior.
Grindhouse,Action,191,160350,7.6,25.03,Robert Rodriguez,Kurt Russell,Quentin Tarantino and Robert Rodriguez's homage to exploitation double features in the 60s and 70s with two back-to-back cult films that include previews of coming attractions between them.
Disaster Movie,Comedy,87,77207,1.9,14.17,Jason Friedberg,Carmen Electra,Over the course of one evening
Rocky Balboa,Drama,102,171356,7.2,70.27,Sylvester Stallone,Sylvester Stallone,Thirty years after the ring of the first bell Rocky Balboa comes out of retirement and dons his gloves for his final fight; against the reigning heavyweight champ Mason 'The Line' Dixon.
Diary of a Wimpy Kid: Dog Days,Comedy,94,16917,6.4,49.00,David Bowers,Zachary Gordon,School's out. Summer vacation is on. However Greg may not have the best summer vacation ever. What could go wrong?
Jane Eyre,Drama,120,67464,7.4,11.23,Cary Joji Fukunaga,Mia Wasikowska,A mousy governess who softens the heart of her employer soon discovers that he's hiding a terrible secret.
Fool's Gold,Action,112,62719,5.7,70.22,Andy Tennant,Matthew McConaughey,A new clue to the whereabouts of a lost treasure rekindles a married couple's sense of adventure -- and their estranged romance.
The Dictator,Comedy,83,225394,6.4,59.62,Larry Charles,Sacha Baron Cohen,The heroic story of a dictator who risked his life to ensure that democracy would never come to the country he so lovingly oppressed.
The Loft,Mystery,108,38804,6.3,5.98,Erik Van Looy,Karl Urban,Five married guys conspire to secretly share a penthouse loft in the city--a place where they can carry out hidden affairs and indulge in their deepest fantasies. But the fantasy becomes a nightmare when they discover the dead body of an unknown woman in the loft and they realize one of the group must be involved.
Bacalaureat,Crime,128,5531,7.5,0.13,Cristian Mungiu,Adrian Titieni,A film about compromises and the implications of the parent's role.
You Don't Mess with the Zohan,Action,113,163144,5.5,100.02,Dennis Dugan,Adam Sandler,An Israeli Special Forces Soldier fakes his death so he can re-emerge in New York City as a hair stylist.
Exposed,Crime,102,8409,4.2,0.50,Gee Malik Linton,Ana de Armas,A police detective investigates the truth behind his partner's death. The mysterious case reveals disturbing police corruption and a dangerous secret involving an unlikely young woman.
Maudie,Biography,115,346,7.8,0.50,Aisling Walsh,Ethan Hawke,An arthritic Nova Scotia woman works as a housekeeper while she hones her skills as an artist and eventually becomes a beloved figure in the community.
Horrible Bosses 2,Comedy,108,125190,6.3,54.41,Sean Anders,Jason Bateman,Dale Kurt and Nick decide to start their own business but things don't go as planned because of a slick investor prompting the trio to pull off a harebrained and misguided kidnapping scheme.
A Bigger Splash,Drama,125,15232,6.4,1.98,Luca Guadagnino,Tilda Swinton,The vacation of a famous rock star and a filmmaker in Italy is disrupted by the unexpected visit of an old friend and his daughter.
Melancholia,Drama,135,137117,7.1,3.03,Lars von Trier,Kirsten Dunst,Two sisters find their already strained relationship challenged as a mysterious new planet threatens to collide with Earth.
The Princess and the Frog,Animation,97,95480,7.1,104.37,Ron Clements,Anika Noni Rose,A waitress desperate to fulfill her dreams as a restaurant owner is set on a journey to turn a frog prince back into a human being but she has to face the same problem after she kisses him.
Unstoppable,Action,98,157499,6.8,81.56,Tony Scott,Denzel Washington,With an unmanned half-mile-long freight train barreling toward a city a veteran engineer and a young conductor race against the clock to prevent a catastrophe.
Flight,Drama,138,276347,7.3,93.75,Robert Zemeckis,Denzel Washington,An airline pilot saves almost all his passengers on his malfunctioning airliner which eventually crashed but an investigation into the accident reveals something troubling.
Home,Animation,94,77447,6.7,177.34,Tim Johnson,Jim Parsons,An alien on the run from his own people makes friends with a girl. He tries to help her on her quest but can be an interference.
La migliore offerta,Crime,131,77986,7.8,0.09,Giuseppe Tornatore,Geoffrey Rush,In the world of high-end art auctions and antiques Virgil Oldman is an elderly and esteemed but eccentric genius art-expert known and appreciated by the world. Oldman is hired by a ... See full summary »
Mean Dreams,Thriller,108,1066,6.3,0.50,Nathan Morlando,Sophie Nélisse,Follows Casey and Jonas
42,Biography,128,69659,7.5,95.00,Brian Helgeland,Chadwick Boseman,This movie is about Jackie Robinson and his journey to becoming a Brooklyn Dodger and his life during that time.
21,Crime,123,198395,6.8,81.16,Robert Luketic,Jim Sturgess,21 is the fact-based story about six MIT students who were trained to become experts in card counting and subsequently took Vegas casinos for millions in winnings.
Begin Again,Drama,104,111875,7.4,16.17,John Carney,Keira Knightley,A chance encounter between a disgraced music-business executive and a young singer-songwriter new to Manhattan turns into a promising collaboration between the two talents.
Out of the Furnace,Crime,116,88829,6.8,11.33,Scott Cooper,Christian Bale,When Rodney Baze mysteriously disappears and law enforcement doesn't follow through fast enough his older brother Russell takes matters into his own hands to find justice.
Vicky Cristina Barcelona,Drama,96,208770,7.1,23.21,Woody Allen,Rebecca Hall,Two girlfriends on a summer holiday in Spain become enamored with the same painter unaware that his ex-wife with whom he has a tempestuous relationship is about to re-enter the picture.
Kung Fu Panda,Animation,92,329788,7.6,215.40,Mark Osborne,Jack Black,The Dragon Warrior has to clash against the savage Tai Lung as China's fate hangs in the balance: However the Dragon Warrior mantle is supposedly mistaken to be bestowed upon an obese panda who is a tyro in martial arts.
Barbershop: The Next Cut,Comedy,111,9993,5.9,54.01,Malcolm D. Lee,Ice Cube,As their surrounding community has taken a turn for the worse the crew at Calvin's Barbershop come together to bring some much needed change to their neighborhood.
Terminator Salvation,Action,115,297093,6.6,125.32,McG,Christian Bale,In 2018 a mysterious new weapon in the war against the machines half-human and half-machine comes to John Connor on the eve of a resistance attack on Skynet. But whose side is he on and can he be trusted?
Freedom Writers,Biography,123,55648,7.5,36.58,Richard LaGravenese,Hilary Swank,A young teacher inspires her class of at-risk students to learn tolerance apply themselves and pursue education beyond high school.
The Hills Have Eyes,Horror,107,136642,6.4,41.78,Alexandre Aja,Ted Levine,A suburban American family is being stalked by a group of psychotic people who live in the desert
Changeling,Biography,141,206793,7.8,35.71,Clint Eastwood,Angelina Jolie,A grief-stricken mother takes on the LAPD to her own detriment when it stubbornly tries to pass off an obvious impostor as her missing child while also refusing to give up hope that she will find him one day.
Remember Me,Drama,113,119376,7.2,19.06,Allen Coulter,Robert Pattinson,A romantic drama centered on two new lovers: Tyler whose parents have split in the wake of his brother's suicide and Ally who lives each day to the fullest since witnessing her mother's murder.
Koe no katachi,Animation,129,2421,8.4,0.50,Naoko Yamada,Miyu Irino,The story revolves around Nishimiya Shoko a grade school student who has impaired hearing. She transfers into a new school where she is bullied by her classmates especially Ishida Shouya... See full summary »
Alexander and the Terrible,ComedyFamily,81,32310,6.2,66.95,Miguel Arteta,Steve Carell,Alexander's day begins with gum stuck in his hair
Locke,Drama,85,100890,7.1,1.36,Steven Knight,Tom Hardy,Ivan Locke
The 9th Life of Louis Drax,Mystery,108,6175,6.3,0.50,Alexandre Aja,Jamie Dornan,A psychologist who begins working with a young boy who has suffered a near-fatal fall finds himself drawn into a mystery that tests the boundaries of fantasy and reality.
Horns,Drama,120,61060,6.5,0.16,Alexandre Aja,Daniel Radcliffe,In the aftermath of his girlfriend's mysterious death a young man awakens to find strange horns sprouting from his temples.
Indignation,Drama,110,7402,6.9,3.40,James Schamus,Logan Lerman,In 1951 Marcus a working-class Jewish student from New Jersey attends a small Ohio college where he struggles with sexual repression and cultural disaffection amid the ongoing Korean War.
The Stanford Prison Experiment,Biography,122,20907,6.9,0.64,Kyle Patrick Alvarez,Ezra Miller,Twenty-four male students out of seventy-five were selected to take on randomly assigned roles of prisoners and guards in a mock prison situated in the basement of the Stanford psychology building.
Diary of a Wimpy Kid: Rodrick Rules,Comedy,99,20194,6.6,52.69,David Bowers,Zachary Gordon,Back in middle school after summer vacation Greg Heffley and his older brother Rodrick must deal with their parents' misguided attempts to have them bond.
Mission: Impossible III,Action,126,270429,6.9,133.38,J.J. Abrams,Tom Cruise,Agent Ethan Hunt comes into conflict with a dangerous and sadistic arms dealer who threatens his life and his fianceé in response .
En man som heter Ove,Comedy,116,21569,7.7,3.36,Hannes Holm,Rolf Lassgård,Ove an ill-tempered isolated retiree who spends his days enforcing block association rules and visiting his wife's grave has finally given up on life just as an unlikely friendship develops with his boisterous new neighbors.
Dragonball Evolution,Action,85,59512,2.7,9.35,James Wong,Justin Chatwin,The young warrior Son Goku sets out on a quest racing against time and the vengeful King Piccolo to collect a set of seven magical orbs that will grant their wielder unlimited power.
Red Dawn,Action,93,64584,5.4,44.80,Dan Bradley,Chris Hemsworth,A group of teenagers look to save their town from an invasion of North Korean soldiers.
One Day,Drama,107,113599,7.0,13.77,Lone Scherfig,Anne Hathaway,After spending the night together on the night of their college graduation Dexter and Em are shown each year on the same date to see where they are in their lives. They are sometimes together sometimes not on that day.
Life as We Know It,Comedy,114,101301,6.6,53.36,Greg Berlanti,Katherine Heigl,Two single adults become caregivers to an orphaned girl when their mutual best friends die in an accident.
28 Weeks Later,Drama,100,221858,7.0,28.64,Juan Carlos Fresnadillo,Jeremy Renner,Six months after the rage virus was inflicted on the population of Great Britain the US Army helps to secure a small area of London for the survivors to repopulate and start again. But not everything goes to plan.
Warm Bodies,Comedy,98,193579,6.9,66.36,Jonathan Levine,Nicholas Hoult,After a highly unusual zombie saves a still-living girl from an attack the two form a relationship that sets in motion events that might transform the entire lifeless world.
Blue Jasmine,Drama,98,160592,7.3,33.40,Woody Allen,Cate Blanchett,A New York socialite
G.I. Joe: Retaliation,Action,110,152145,5.8,122.51,Jon M. Chu,Dwayne Johnson,The G.I. Joes are not only fighting their mortal enemy Cobra; they are forced to contend with threats from within the government that jeopardize their very existence.
Wrath of the Titans,Action,99,159230,5.8,83.64,Jonathan Liebesman,Sam Worthington,Perseus braves the treacherous underworld to rescue his father Zeus captured by his son Ares and brother Hades who unleash the ancient Titans upon the world.
Shin Gojira,Action,120,8365,6.9,1.91,Hideaki Anno,Hiroki Hasegawa,Japan is plunged into chaos upon the appearance of a giant monster.
Saving Mr. Banks,Biography,125,125693,7.5,83.30,John Lee Hancock,Emma Thompson,Author P.L. Travers reflects on her childhood after reluctantly meeting with Walt Disney who seeks to adapt her Mary Poppins books for the big screen.
Transcendence,Drama,119,184564,6.3,23.01,Wally Pfister,Johnny Depp,A scientist's drive for artificial intelligence takes on dangerous implications when his consciousness is uploaded into one such program.
Rio,Animation,96,173919,6.9,143.62,Carlos Saldanha,Jesse Eisenberg,When Blu a domesticated macaw from small-town Minnesota meets the fiercely independent Jewel he takes off on an adventure to Rio de Janeiro with the bird of his dreams.
Equals,Drama,101,16361,6.1,0.03,Drake Doremus,Nicholas Hoult,In an emotionless utopia two people fall in love when they regain their feelings from a mysterious disease causing tensions between them and their society.
Babel,Drama,143,253417,7.5,34.30,Alejandro González Iñárritu,Brad Pitt,Tragedy strikes a married couple on vacation in the Moroccan desert
The Tree of Life,Drama,139,143517,6.8,13.30,Terrence Malick,Brad Pitt,The story of a family in Waco Texas in 1956. The eldest son witnesses the loss of innocence and struggles with his parents' conflicting teachings.
The Lucky One,Drama,101,82874,6.5,60.44,Scott Hicks,Zac Efron,A Marine travels to Louisiana after serving three tours in Iraq and searches for the unknown woman he believes was his good luck charm during the war.
Piranha 3D,Comedy,88,75262,5.5,25.00,Alexandre Aja,Elisabeth Shue,After a sudden underwater tremor sets free scores of the prehistoric man-eating fish an unlikely group of strangers must band together to stop themselves from becoming fish food for the area's new razor-toothed residents.
50/50,Comedy,100,281625,7.7,34.96,Jonathan Levine,Joseph Gordon-Levitt,Inspired by a true story a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease.
The Intent,Crime,104,202,3.5,0.50,Femi Oyeniran,Dylan Duffus,Gunz (Dylan Duffus) is thrust into a world of excitement when he joins the TIC crew. The crew led by the ruthless Hoodz (Scorcher) goes from low level weed peddling to full on armed ... See full summary »
